@relation filtrado-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C24-L2-V

@attribute Marital_status numeric
@attribute Application_mode numeric
@attribute Application_order numeric
@attribute Course numeric
@attribute Daytime/evening_attendance numeric
@attribute Previous_qualification numeric
@attribute Previous_qualification_(grade) numeric
@attribute Nacionality numeric
@attribute Mother_s_qualification numeric
@attribute Father_s_qualification numeric
@attribute Mother_s_occupation numeric
@attribute Father_s_occupation numeric
@attribute Admission_grade numeric
@attribute Displaced numeric
@attribute Educational_special_needs numeric
@attribute Debtor numeric
@attribute Gender numeric
@attribute Scholarship_holder numeric
@attribute Age_at_enrollment numeric
@attribute International numeric
@attribute Unemployment_rate numeric
@attribute Inflation_rate numeric
@attribute GDP numeric
@attribute TARGET {Dropout,Enrolled,Graduate}

@data
1,18,1,9238,1,1,137,1,19,38,5,8,137.4,1,0,0,0,0,18,0,10.8,1.4,1.74,Enrolled
1,1,1,9853,1,1,140,1,19,19,7,7,124.6,1,0,0,0,0,18,0,16.2,0.3,-0.92,Enrolled
1,18,4,9556,1,1,127,1,1,38,4,7,121.8,1,0,0,0,0,20,0,12.7,3.7,-1.7,Enrolled
1,1,1,9238,1,1,151,1,19,38,9,9,157,1,0,1,0,1,18,0,7.6,2.6,0.32,Enrolled
1,1,1,9085,1,1,138,1,19,19,3,3,131,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,17,2,9500,1,1,127,1,3,3,1,10,118.8,1,0,0,1,0,19,0,16.2,0.3,-0.92,Enrolled
1,44,1,9003,1,39,150,1,4,5,4,2,150,0,0,0,1,0,21,0,16.2,0.3,-0.92,Enrolled
1,1,1,9147,1,1,143,1,1,1,4,6,138.8,0,0,0,1,0,18,0,8.9,1.4,3.51,Enrolled
1,17,1,9991,0,1,154,1,38,38,4,5,134.1,0,0,0,0,0,24,0,7.6,2.6,0.32,Enrolled
1,1,1,9500,1,1,139,1,37,38,6,6,121.3,1,0,0,0,1,19,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9773,1,1,127,1,1,19,7,7,121.8,1,0,0,0,1,20,0,9.4,-0.8,-3.12,Enrolled
1,1,3,171,1,1,125,1,38,37,4,9,115.2,1,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
1,17,3,171,1,1,133,1,1,37,4,7,126,1,0,0,1,1,19,0,10.8,1.4,1.74,Enrolled
1,17,1,9070,1,1,127,1,1,1,3,4,130.2,1,0,0,1,0,19,0,10.8,1.4,1.74,Enrolled
1,43,1,9070,1,1,116,1,1,1,3,3,120.9,0,0,0,1,0,24,0,12.7,3.7,-1.7,Enrolled
1,39,1,9254,1,1,160,1,19,37,7,10,100,0,0,0,1,0,26,0,12.7,3.7,-1.7,Enrolled
1,17,1,9147,1,1,148,1,38,37,5,5,134,0,0,0,1,0,18,0,7.6,2.6,0.32,Enrolled
1,17,1,9254,1,1,120,1,19,19,4,4,125.5,0,0,0,1,0,18,0,12.7,3.7,-1.7,Enrolled
1,1,6,9147,1,1,143,1,38,37,9,9,128.7,1,0,0,1,0,23,0,11.1,0.6,2.02,Enrolled
1,43,2,9119,1,1,115,1,38,19,9,6,112.2,1,0,1,1,0,18,0,15.5,2.8,-4.06,Enrolled
1,15,1,9119,1,1,130,26,38,3,9,2,137,1,0,0,1,0,19,1,13.9,-0.3,0.79,Enrolled
1,1,1,9085,1,1,135,1,1,2,9,1,134.3,1,0,0,0,0,19,0,12.7,3.7,-1.7,Enrolled
1,17,2,9853,1,1,133.1,1,19,1,9,3,107,1,0,0,0,0,20,0,16.2,0.3,-0.92,Enrolled
1,17,2,9147,1,1,123,1,1,38,4,7,115.3,1,0,0,0,1,18,0,8.9,1.4,3.51,Enrolled
1,43,1,9500,1,1,130,1,38,38,9,5,100,0,0,0,0,0,20,0,13.9,-0.3,0.79,Enrolled
1,17,1,9238,1,1,154,1,19,37,9,7,140.4,1,0,0,0,1,20,0,7.6,2.6,0.32,Enrolled
1,17,1,9147,1,1,120,1,19,19,3,3,113.4,0,0,0,0,0,20,0,12.4,0.5,1.79,Enrolled
1,1,1,9853,1,1,146,1,19,38,9,3,145.3,1,0,0,0,1,18,0,9.4,-0.8,-3.12,Enrolled
1,1,2,9500,1,1,117,1,19,1,4,7,112.1,0,0,0,0,1,20,0,11.1,0.6,2.02,Enrolled
1,51,1,9147,1,1,99,1,3,1,3,3,99.7,1,0,1,0,0,22,0,8.9,1.4,3.51,Enrolled
1,1,1,171,1,1,136,1,3,37,2,8,121.7,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,17,1,9853,1,1,138,1,38,38,7,6,124.7,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
3,39,1,9003,1,1,170,1,1,37,6,6,170,0,0,1,0,0,47,0,8.9,1.4,3.51,Enrolled
1,39,1,9085,1,1,130,1,37,19,9,7,130,1,0,0,0,0,28,0,12.7,3.7,-1.7,Enrolled
1,1,1,9670,1,1,131,1,37,37,9,9,123,1,0,0,0,1,18,0,7.6,2.6,0.32,Enrolled
1,44,1,9991,0,39,140,1,37,19,9,8,140,0,0,0,0,1,26,0,9.4,-0.8,-3.12,Enrolled
1,43,1,9238,1,1,143,1,1,37,5,9,126.6,0,0,1,0,0,21,0,9.4,-0.8,-3.12,Enrolled
1,1,1,8014,0,1,120,1,1,37,7,3,122.8,0,0,0,0,0,23,0,9.4,-0.8,-3.12,Enrolled
1,39,1,9500,1,1,120,1,1,3,175,121,105.9,0,0,0,0,0,35,0,11.1,0.6,2.02,Enrolled
1,39,1,9556,1,40,130,1,1,1,4,5,145,0,0,0,0,0,25,0,15.5,2.8,-4.06,Enrolled
1,1,3,9500,1,1,125,1,3,1,4,4,119.4,1,0,0,0,0,19,0,12.4,0.5,1.79,Enrolled
1,16,1,171,1,1,145,1,3,3,3,3,155,1,0,0,0,0,24,0,12.4,0.5,1.79,Enrolled
1,1,3,9070,1,1,125,1,19,38,9,9,125.4,1,0,0,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9773,1,1,127,1,37,37,9,8,123.2,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,17,3,9070,1,1,116,1,37,37,9,9,110.8,0,0,0,0,0,18,0,7.6,2.6,0.32,Enrolled
1,1,1,9500,1,1,143,1,19,19,5,6,142.3,0,0,0,0,1,18,0,12.4,0.5,1.79,Enrolled
1,17,1,9070,1,1,123,1,4,37,2,9,113.9,0,0,0,0,0,18,0,15.5,2.8,-4.06,Enrolled
1,44,1,9003,1,39,140,1,37,37,9,4,140,0,0,0,0,0,24,0,12.4,0.5,1.79,Enrolled
1,1,1,9670,1,1,119,1,1,19,4,10,115.5,1,0,0,0,0,19,0,10.8,1.4,1.74,Enrolled
1,17,1,9500,1,1,160,1,38,38,7,7,147.8,0,0,0,0,0,20,0,15.5,2.8,-4.06,Enrolled
1,5,3,9085,1,1,141,1,1,19,7,5,128.8,1,0,0,0,0,19,0,7.6,2.6,0.32,Enrolled
1,1,1,9853,1,1,132,1,2,19,4,4,125,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9085,1,1,135,1,19,38,9,5,136.8,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9853,1,1,123,1,1,38,9,6,121.6,1,0,0,0,0,18,0,11.1,0.6,2.02,Enrolled
1,1,1,9085,1,1,129,1,1,2,3,1,125.9,1,0,0,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,42,1,9147,1,1,130,1,37,38,9,1,130,1,0,0,0,0,26,0,9.4,-0.8,-3.12,Enrolled
1,43,1,9238,1,1,110,1,37,37,9,9,110,0,0,0,0,0,36,0,15.5,2.8,-4.06,Enrolled
1,1,2,8014,0,1,96,1,3,1,3,9,100,0,0,0,0,0,20,0,9.4,-0.8,-3.12,Enrolled
1,39,1,9003,1,1,133.1,1,37,37,3,8,130,0,0,1,0,1,30,0,11.1,0.6,2.02,Enrolled
1,17,4,9147,1,1,112,1,19,38,9,10,112,1,0,0,0,0,20,0,16.2,0.3,-0.92,Enrolled
1,1,4,9500,1,1,136,1,1,1,9,1,133,1,0,0,0,0,19,0,7.6,2.6,0.32,Enrolled
1,17,1,9085,1,1,134,1,19,37,2,7,131.2,0,0,0,0,0,19,0,7.6,2.6,0.32,Enrolled
4,39,1,9991,0,1,130,1,38,19,9,7,148,0,0,0,0,1,31,0,13.9,-0.3,0.79,Enrolled
2,51,1,8014,0,19,133.1,1,37,37,9,9,104,0,0,1,0,0,42,0,11.1,0.6,2.02,Enrolled
1,17,1,9853,1,1,125,1,3,3,3,3,116.6,1,0,0,0,1,18,0,8.9,1.4,3.51,Enrolled
1,44,1,9085,1,39,140,1,37,38,5,6,140,1,0,0,0,0,21,0,16.2,0.3,-0.92,Enrolled
1,43,1,9500,1,1,170,1,19,37,8,8,100,0,0,0,0,0,20,0,13.9,-0.3,0.79,Enrolled
1,1,1,9238,1,1,135,1,38,38,5,7,121,0,0,0,0,0,19,0,7.6,2.6,0.32,Enrolled
1,17,1,9853,1,1,134,1,1,19,4,5,122.5,1,0,0,0,0,22,0,15.5,2.8,-4.06,Enrolled
1,44,1,9085,1,39,140,1,4,38,4,5,140,1,0,0,0,0,21,0,12.4,0.5,1.79,Enrolled
1,39,1,9500,1,1,150,1,1,19,5,3,140,0,1,0,0,0,26,0,16.2,0.3,-0.92,Enrolled
1,17,4,9070,1,1,125,1,1,3,3,3,128.9,0,0,0,0,1,18,0,8.9,1.4,3.51,Enrolled
1,17,1,9254,1,1,136,1,37,37,7,7,121.7,1,0,0,0,0,20,0,10.8,1.4,1.74,Enrolled
1,1,1,9773,1,1,120,1,38,37,9,9,114.8,1,1,0,0,0,19,0,7.6,2.6,0.32,Enrolled
1,1,1,9254,1,1,128,1,19,38,9,9,127,0,0,0,0,0,19,0,12.4,0.5,1.79,Enrolled
1,17,1,9147,1,1,116,1,38,2,9,2,112.2,1,0,0,0,0,20,0,10.8,1.4,1.74,Enrolled
1,17,1,9254,1,1,122,1,19,19,5,5,118.2,0,0,0,0,1,20,0,12.4,0.5,1.79,Enrolled
1,43,1,9556,1,1,147,1,3,4,3,2,100,0,0,0,0,0,18,0,10.8,1.4,1.74,Enrolled
1,43,1,9130,1,1,127,1,19,38,4,5,120.7,1,0,1,0,0,18,0,12.7,3.7,-1.7,Enrolled
1,1,3,9254,1,1,122,1,19,38,3,10,114.3,1,0,0,0,1,20,0,12.4,0.5,1.79,Enrolled
1,1,3,9147,1,1,131,1,19,38,9,7,132.4,1,0,0,0,0,19,0,9.4,-0.8,-3.12,Enrolled
1,17,1,9238,1,1,148,1,1,1,4,9,129.8,0,0,0,0,0,20,0,15.5,2.8,-4.06,Enrolled
1,1,1,9853,1,1,133,1,1,38,5,10,131.3,1,0,0,0,0,20,0,15.5,2.8,-4.06,Enrolled
1,17,1,9238,1,1,128,1,38,19,191,175,118.6,1,0,0,0,1,21,0,8.9,1.4,3.51,Enrolled
1,44,1,9085,1,39,140,1,38,38,9,7,140,0,0,0,0,0,20,0,13.9,-0.3,0.79,Enrolled
1,1,1,9085,1,1,101,1,37,37,9,4,101,1,0,1,0,0,22,0,12.4,0.5,1.79,Enrolled
1,1,1,9853,1,1,126,1,3,1,2,5,116.9,1,1,0,0,0,18,0,13.9,-0.3,0.79,Enrolled
1,17,3,9085,1,1,134,1,37,38,9,9,120.4,1,0,0,0,0,20,0,9.4,-0.8,-3.12,Enrolled
1,1,1,9070,1,1,125,1,1,1,4,4,132,0,0,0,0,0,18,0,13.9,-0.3,0.79,Enrolled
1,39,1,9500,1,19,133.1,1,37,38,151,161,143.7,0,0,0,0,0,27,0,12.4,0.5,1.79,Enrolled
1,39,1,33,1,1,140,1,3,1,2,4,152.8,0,0,0,0,0,26,0,16.2,0.3,-0.92,Enrolled
1,1,2,9070,1,1,121,1,4,1,2,3,120.7,1,0,0,0,0,18,0,9.4,-0.8,-3.12,Enrolled
1,39,1,9119,1,19,133.1,1,19,19,5,3,100.9,1,0,0,1,0,24,0,10.8,1.4,1.74,Enrolled
1,17,1,9147,1,1,126,1,37,37,4,7,116.9,0,0,0,1,1,19,0,12.7,3.7,-1.7,Enrolled
1,1,1,9147,1,1,117,1,19,19,5,7,118.4,0,0,0,1,0,20,0,7.6,2.6,0.32,Enrolled
1,17,2,9119,1,1,127,1,19,1,9,10,121.1,1,0,0,1,1,18,0,8.9,1.4,3.51,Enrolled
1,1,2,9147,1,1,133,1,19,1,5,10,121.8,0,0,0,1,0,20,0,15.5,2.8,-4.06,Enrolled
1,39,1,9119,1,40,120,1,1,1,5,10,146.8,0,0,0,1,0,25,0,16.2,0.3,-0.92,Enrolled
1,1,1,9670,1,1,133.1,1,38,19,5,6,138,0,0,1,1,0,22,0,11.1,0.6,2.02,Enrolled
1,1,1,9500,1,1,149,1,37,37,9,9,138,0,0,0,1,0,18,0,9.4,-0.8,-3.12,Enrolled
1,17,1,9147,1,1,130,1,19,1,7,4,117.8,1,0,0,1,0,20,0,10.8,1.4,1.74,Enrolled
1,44,1,9254,1,39,130,1,39,39,194,193,130,1,0,1,1,0,23,0,8.9,1.4,3.51,Enrolled
1,1,1,9130,1,1,132,1,1,1,3,3,143.9,1,0,0,1,0,20,0,9.4,-0.8,-3.12,Enrolled
1,1,6,9147,1,1,121,1,3,19,4,5,116.8,0,0,0,1,0,20,0,13.9,-0.3,0.79,Enrolled
1,39,2,9991,0,1,172,1,19,37,9,8,150,1,0,0,0,1,28,0,9.4,-0.8,-3.12,Enrolled
1,17,1,9670,1,1,141,1,1,19,8,7,128.8,1,0,0,0,0,19,0,8.9,1.4,3.51,Enrolled
1,1,1,9500,1,1,133,1,3,19,2,8,126.7,0,0,0,0,0,19,0,16.2,0.3,-0.92,Enrolled
1,17,1,9670,1,1,155,1,1,19,4,8,134.7,1,0,0,0,0,20,0,12.7,3.7,-1.7,Enrolled
1,17,1,9003,1,1,119,1,37,37,4,6,113.2,0,0,1,0,0,20,0,11.1,0.6,2.02,Enrolled
1,43,3,9500,1,1,126,1,38,37,6,5,124.3,1,0,0,0,1,18,0,7.6,2.6,0.32,Enrolled
1,17,3,9147,1,1,118,1,1,19,5,7,118,0,0,0,0,0,20,0,12.4,0.5,1.79,Enrolled
1,44,1,9085,1,39,140,1,3,1,2,3,140,1,0,0,0,0,19,0,12.4,0.5,1.79,Enrolled
